,Q,A
287,"검은 암탉이 하얀 알을 낳는다. 
A black _______ lays white eggs.

class, look, cry, hen",hen
288,"여기라면 비를 맞지 않는다. 
We are safe from the rain _______.

run, safe, and, here",here
289,"자신을 숨기지말고 나타내라.
(숨기다  Do not _______ and show yourself.

party, team, hide, west",hide
290,"가격이 좀 비싸지 않은가요? 
Isn't the price a bit _______?

telephone, high, call, under",high
291,"하이킹하기에 멋진 날씨였다. 
It was a nice day for _______.

water, hiking, sir, sleep",hiking
292,"그 언덕에는 소나무 숲이 있다. 
The _______ has a pine forest.

tall, he, board, hill",hill
293,"테이블 가장자리에 부딪쳤다. 
I _______ the table edge on.

space, flower, west, hit",hit
294,"우리는 그 강도 일당을 붙잡았다. 
We clapped _______ of the robbers.

cap, hold, yellow, build",hold
295,"쥐가 구멍 안에서 자고 있다. 
A mouse is sleeping in the _______.

news, lady, hole, move",hole
296,"공휴일이 일요일과 겹친다 
A national _______ falls on Sunday.

black, holiday, autumn, news",holiday
297,"집에 가는데 태워줄까? 
Do you need a ride _______?

home, bye, pair, subway",home
298,"나의 꿈은 선원 생활을 하는 것이다.
My _______ is using the sea.

potato, hope, shut, wrong",hope
299,"남자가 호스를 사용하고 있다. 
The man is using a _______.

hose, beautiful, class, who",hose
300,"말 타는 것을 좋아하니? 
Do you like riding a _______?

horse, think, milk, problem",horse
301,"개가 병원 건너편에 있다. 
The dog is across from the _______

if, hospital, book, always",hospital
302,"꿀과 소다, 뜨거운 물을 섞어라.
Mix soda with honey and _______ water.

guitar, never, hot, sing",hot
303,"어느 호텔에서 묵을 건가요?
Which _______ are you staying at?

date, rocket, hotel, doll",hotel
304,"한 시간 후에 다시 전화하세요. 
Please call back in an _______.

hall, test, hour, summer",hour
305,"집 열쇠를 찾고 있었다. 
I was looking for the key to my _______.

spend, sweet, cold, house",house
306,"100세까지 사는 사람은 적다 
Few live to be one _______ years old.

hundred, sir, corner, so",hundred
307,"나는 배고픈 데다 목도 마르다. 
I am _______ and thirsty too.

thousand, diary, vegetable, hungry",hungry
308,"그는 항상 서두른다. 
He is always in a _______.

turn, hurry, front, wake",hurry
309,"개가 다친것 같다. 
The dog seems to be _______.

help, excuse, camp, hurt",hurt
310,"나는 내일 떠나기로 마음먹었다.
_______ decided _______ would leave tomorrow.

I, road, beside, world",I
311,"그는 약간의 아이스크림을 먹고 싶어한다. 
He wants to eat some _______ cream.

ice, handle, clock, long",ice
312,"좋은 생각이 문득 떠올랐다. 
A happy _______ flashed on me.

holiday, why, fun, idea",idea
313,"만약 늦게 되면 나에게 알려 줘. 
Please let me know _______ you'll be late.

help, market, empty, if",if
314,"그녀는 한 달 동안 아팠다. 
She fell _______ for a month.

hand, gold, piece, ill",ill
315,"소녀가 부엌에 있다. 
The girl is _______ the kitchen.

lunch, win, lamp, in",in
316,"병에 잉크가 조금밖에 없다 
There is little _______ in the bottle.

ink, excuse, wear, fair",ink
317,"나는 영어에 관심이 많다. 
I have a lot of _______ in English.

robot, teach, dance, interest",interest
318,"여자가 팬에 우유를 붓고 있다. 
The woman is pouring milk _______ a pan.

large, into, into, meter",into
319,"동생을 소개하겠습니다. 
Let me _______ my brother to you.

open, introduce, square, knee",introduce
320,"그는 쓸쓸한 섬에 내렸다. 
He was landed on a lonely _______.

pardon, hurry, why, island",island
321,"그것이 무엇이냐에 달렸죠. 
It depends on what _______ is.

light, street, same, it",it
322,"난 내 일이 지겨워. 
I'm sick and tired of my _______.

cool, round, job, than",job
323,"나도 밴드에 가입하고 싶다 
I want to _______ the band, too.

soon, join, any, wonder",join
324,"쥬스를 그릇안에 넣어라
Save the _______ in a bowl.

juice, tea, about, wait",juice
325,"그들은 깊은 정글 속에 산다. 
They live deep in the _______.

jungle, famous, post, pine",jungle
326,"우리는 겨우 1년 전에 만났어요. 
We _______ met a year ago.

west, pull, gentle, just",just
327,"이것은 일주일동안 지속 될 것이다
This will _______ as long as a week.

sock, study, keep, weather",keep
328,"제 열쇠를 찾고 있어요. 
I am looking for my _______.

west, throw, key, orange",key
329,"내 꼬마 동생은 아무도 못 말려요. 
Nobody can stop my _______ brother.

paint, kid, below, kill",kid
330,"맹세코 나는 그를 죽이지 않았어. 
By my faith, I didn't _______ him.

talk, dark, kill, mother",kill
331,"그녀는 매우 친절한 사람이다 
She is a very _______ person.

clean, house, kind, week",kind
332,"왕은 금관을 썼다 
The _______ put on his gold crown.

king, some, like, bed",king
333,"남자가 부엌에 있다. 
The man is in the _______.

end, yet, tie, kitchen",kitchen
334,"나는 무릎이 아프다. 
I have a pain in the _______.

knee, oh, thirsty, or",knee
335,"이 칼은 여러 가지로 유용하다. 
This _______ is helpful in many ways.

tiger, basket, hiking, knife",knife
336,"그녀는 창문을 두드리는 소리를 들었다. 
She heard a _______ on the window.

early, up, knock, computer",knock
337,"저는 춤을 출 줄 몰라요. 
I don't _______ how to dance.

vacation, know, laugh, change",know
338,"나의 숙모는 아주 친절한 분이다. 
My aunt is a very nice _______.

apple, climb, finger, lady",lady
339,"호수 위에 보트가 떠 있다. 
There are boats on the _______.

front, dark, lake, dish",lake
340,"책상 위에 등이 있어요. 
There is a _______ on the desk

ma'am, show, lamp, hair",lamp
341,"사람들은 땅에서 식품을 기른다. 
People grow food on the _______.

clothes, soap, land, speak",land
342,"큰 그릇에 옥수수 후레이크를 부으세요
Pour corn flakes into _______ bowl.

ceiling, box, large, hello",large
343,"이것은 이 계절의 마지막 음악회야. 
This is the _______ concert of the season.

a,an, last, lake, stair",last
344,"일에 늦기 싫어.
I don't want to be _______ for work.

love, hide, fool, late",late
345,"넌 정말 웃는 걸 좋아하는구나? 
You love to _______, don't you?

handle, laugh, breakfast , have",laugh
346,"그는 국민을 충분히 지도할 수 있다. 
He is well able to _______ the people.

do, take, lead, bread",lead
347,"여름의 나무들은 잎이 무성하다. 
Trees in summer are in _______.

leaf, narrow, hat, lamp",leaf
348,"배움에는 절대 늦음이 없다. 
It is never too late to _______.

grass, yet, nice, learn",learn
349,"그래, 나는 내일 떠날 계획이야. 
Yes, I plan to _______ tomorrow.

under, leave, family, problem",leave
350,"도서관은 왼쪽에 있습니다. 
The library is on your _______.

strong, excellent, thin, left",left
351,"상어가 그 사람의 다리를 물어뜯었다. 
The shark ate off the man's _______.

kid, sick, around, leg",leg
352,"  오늘의 수업은 당근에 관한 거예요 
Today’s _______ is about the carrots

lesson, album, mail, a,an",lesson
353,"그 문이 편지에 언급되어 있다. 
The door is referred to in the _______.

letter, move, restaurant , burn",letter
354,"도서관은 왼쪽에 있습니다. 
The _______ is on your left.

mad, clean, again, library",library
355,"그녀가 거짓말을 하지 않았니? 
She told a _______, didn't she?

lie, son, peace, I",lie
356,"식물은 태양에서 빛을 흡수한다. 
Plants imbibe _______ from the sun.

light, supper, follow, mother",light
357,"전혀 안 좋습니다. 
I don't _______ it at all.

like, forget, shape, snow",like
358,"우리 모두 줄을 서서 점심을 먹으러 가요. 
Let's _______ up and go to lunch.

stop, line, they, open",line
359,"사자는 육식 동물이다 
The _______ is a beast of prey

lion, join, carry, silver",lion
360,"그는 아랫 입술이 정말 두꺼워요. 
He has a huge lower _______.

radio, lip, chopstick , buy",lip
361,"너희 이름이 명부에 올랐다.
Your names are on a _______.

hat, arrive, list, tulip",list
362,"매일 영어 테이프를 듣는다. 
I _______ to English tapes every day.

listen, enjoy, on, food",listen
363,"다리가 조금 욱신거려. 
My leg is a _______ sore.

hurry, little, wet, key",little
364,"먹기 위해 살지 말고, 살기 위해 먹으라. 
One should eat to _______, not _______ to eat.

okay, true      , red, live",live
365,"그것은 7분이 넘는다. 
It is more than 7 minutes _______.

pardon, lie, love, long",long
366,"나는 바보같이 보일 거야. 
I will _______ like a fool.

together, left, look, age",look
367,"친구를 잃느니 차라리 돈을 잃겠어요. 
I'd rather _______ money than a friend.

pair, sock, lose, size",lose
368,"많은 물을 사용한다.
They use a _______ of water.

water, lot, yet, spell",lot
369,"그녀가 크게 재채기를 했다.
She let out a _______ sneeze.

loud, television, poster, ceiling",loud
370,"여러분도 저처럼 음악을 사랑하세요? 
Do you _______ music like I _______ music?

round, bottle, introduce, love",love
371,"그들은 검소하게 살았다.
Cook over _______ heat until melted.

shape, rice, bridge, low",low
372,"그게 운이었다고 보세요? 
Would you put it down to _______?

tennis, fast, why, luck",luck
373,"점심에 무엇을 먹었니? 
What did you eat for _______?

group, lunch, today, gold",lunch
374,"부인, 죄송합니다.
Sorry, _______.

ink, full, where, ma'am",ma'am
375,"그 의사는 아주 미쳤다. 
The doctor was stark, staring _______.

pool, example, mad, brush",mad
376,"아뇨, 이메일을 일찍 보냈어요. 
No, I sent an e-_______ earlier.

mail, bad, laugh, doll",mail
377,"그거 좋은데요. 샐러드는 내가 만들게요.
That sounds great. I'll _______ a salad.

make, brush, cut, speak",make
378,"내가 남자이면 좋겠다.
I wish I were a _______.

mountain, song, coffee, man",man
379,"파티에 여럿이 와 있다
There are _______ at the party.

oil, many, quiet, robot",many
380,"여자가 지도를 보고 있다.
The woman is consulting her _______.

watch, map, example, size",map
381,"다음 장은 10일에 선다 
The next _______ is on the 10th.

storm, fight, market, flower",market
382,"그는 그 여자하고 몹시 결혼하고 싶어한다 
He is mad to _______ her.

bright, train, marry, return",marry
383,"그 문제야 어떻든… 
Be the _______ what it may, ...

matter, just, help, roll",matter
384,"그밖의 사람은 가도 좋다 
The rest of you _______ go home.

kid, drum, be, may",may
385,"오리에게 고기를 먹이지 마라
Don't feed the ducks with _______.

guitar, home, meat, age",meat
386,"이 메달은 우승자를 표창하기 위한 것이다.
This _______ is to honor the winner.

medal, boy, sorry, warm",medal
387,"당신을 만나서 영광입니다. 
I'm really honored to _______ you !

meet, cloud, high, sugar",meet
388,"두꺼운 멜론 한 조각이 접시에 담겨 있다.
Place the _______ chunks in a bowl.

move, run, melon, spell",melon
389,"나무는 1미터씩 사이가 떠 있다 
The trees stand at intervals of one _______.

meter, team, lie, rain",meter
390,"줄이 한가운데가 축 늘어져 있다 
The rope is slack in the _______.

piano, head, I, middle",middle
391,"우유를 넣고 잘 섞어라.
Add the _______ and stir well.

hall, dolphin, wet, milk",milk
392,"100만불은 막대한 돈이다 
A _______ dollar is a mint of money.

hold, bag, million, church",million
393,"잠시만 기다려,
Wait a _______,

dad, sheet, queen, minute",minute
394,"남자가 거울을 들여다보고 있다.
He is looking in the _______.

mirror, doctor, rain, like",mirror
395,"수잔 브라운 양은 25세입니다. 
_______ Susan Brown is 25 years old.

sorry, Miss, mad, switch",Miss
396,"모형 비행기가 할인판매 중이다.
The _______ airplane is on sale.

model, year, daughter , wonder",model
397,"바지는 엄마에 의해 다려졌다.
The pants were ironed by my _______. ( _______my)

sand, mom, feel, around",mom
398,"원숭이는 꼬리가 길다 
A _______ has a long tail.

piano, dial, monkey, wing",monkey
399,"우리는 그 팀과 매 달 시합을 한다.
We play with the team every _______.

tomorrow, sock, switch, month",month
400,"하늘의 달이 이울기 시작했다. 
The _______ in the sky is on the wane.

I, thing, there, moon",moon
401,"오늘 아침 그는 활기차 보였다.
He was full of prunes this _______.

cheap, morning, yeah, laugh",morning
402,"그 수녀는 고아들에게 어머니와 같은 존재였다.
The nun was a _______ to orphans.

long, throw, mother, stop",mother
403,"인가가 산기슭에 산재해 있다.
Houses straggle at the foot of the _______.

mountain, robot, ice, some",mountain
404,"입안을 헹군 다음 물을 뱉는다. 
I rinse my _______ and spit out the water.

real, again, telephone, mouth",mouth
405,"그녀는 무서워 떨면서 움직일 수 없었다. 
She could not _______ in fear and trembling.

until, present, start, move",move
406,"심금을 울리는 영화였어.
The _______ has tugged at my heartstrings.

picture, city, of, movie",movie
407,"실버 씨와 얘기해 봤어요? 
Ms.여자. Were you able to talk to _______ Silver?

next, arrive, sheet, Mr.",Mr.
408,"나를 ""여사""라고 부르지 마세요.
Please don't address me as _______

change, Mrs., knife, winter",Mrs.
409,"웬 술을 이렇게 마셨어?
Why did you drink so _______?

much, act, pay, parent",much
410,"그 음악은 그를 지치도록 춤추게 한다.
This _______ dances him off his feet.

roof, music, gentle, snow",music
411,"뿌린 씨는 거두어 들여야 한다.
One _______ reap what one has sown.

must, switch, size, ago",must
412,"이 운동의 이름은 무엇인가? 
What's the _______ of this sport?

beach, must, tell, name",name
413,"범위를 좁혀야 할까요? 
Do you think I should _______ it down?

winter, mouth, narrow, tennis",narrow
414,"우리는 시청 부근에서 그의 차를 따라잡았다.
We overtook his car _______ the city hall.

near, short, head, monkey",near
415,"제가 목을 만지면 아파요. 아야!
When I touch my _______, it hurts. OUCH!

zoo, plan, neck, glass",neck
416,"뼈를 튼튼하게 하려면 칼슘이 필요하다.
People _______ calcium to have strong bones.

swim, need, base, great",need
417,"이 톱니 바퀴들은 어긋난 적이 한번 도 없다. 
These gears were _______ out of mesh.

ruler, never, fat, dear",never
418,"마침내 새 집으로 이사했나요? 
Did you finally move into your _______ house?

cap, new, melon, music",new
419,"그녀는 네 소식에 개의치 않는다.
She is not fussed about your _______.

news, sock, oil, learn",news
420,"다람쥐가 나무 옆에 있다. 
The squirrel is _______ to the tree.

next, tired, button, it",next
421,"날씨가 참 좋죠?
The weather is _______, isn't it?

know, music, poor, nice",nice
422,"그날 밤 그 도박꾼이 판돈을 휩쓸었다.
The gambler scooped the pool that _______.

night, ink, storm, bear",night
423,"너 참 시끄럽구나. 
You are so _______.

banana, noisy, picnic, animal",noisy
424,"나는 그 소음 때문에 놀랐다.
I was frightened at the _______.

enough, sheep, thank, noise",noise
425,"바람이 북쪽에서 불어온다.
The wind sits in the _______.

north, read, dial, loud",north
426,"악취가 코를 찔렀다
An offensive smell greeted my _______.

slide, story, post, nose",nose
427,"난 전혀 신경 안 써. 
I do _______ care a snap.

not, evening, lead, date",not
428,"어디서 이 공책을 샀어요? 
Where did you buy this _______book?

stamp, place, note, card",note
429,"난 이제 독립했다. 
I am my own boss _______.

now, television, rain, sister",now
430,"10 센트를 넣고 번호를 돌리시오.
Deposit a dime and dial your _______.

cow, together, watch, number",number
431,"그녀는 간호사 자격을 딸 작정이다.
She expects to qualify as a _______.

place, friend, nurse, for",nurse
432,"금전욕은 모든 악의 근원이다 
Love _______ money is the root _______ all evil.

gentle, yet, dog, of",of
433,"그 외딴 지역은 도시에서 멀리 떨어져 있다.
The remote region is _______ the map.

melon, off, stair, afternoon",off
434,"사무실은 이곳에서 멀지 않다. 
The _______ is not far from here.

teach, or, turn, office",office
435,"종종 커피숍에서 시간을 보내. 
I _______ hang out in coffee shops.

pipe, often, supermarket , ma'am",often
436,"기름이 동났다 
The _______ is used up. or We are out of _______.

oil, afraid, pipe, know",oil
437,"그 할머니는 한푼 없이 쫓겨났다.
The _______ lady was evicted without a bean.

come, old, music, and",old
438,"볼펜이 탁자 위에 있다.
The ballpoint pen is _______ the table.

on, park, board, tall",on
439,"두부를 넣고 1분 간 튀긴 후 한 번 뒤집는다.
Add tofu and fry for 1 minute, turning _______.

grass, sea, once, thing",once
440,"그는 단지 속옷만 입고 있었다.
He was clad _______ in his underwear.

large, side, only, into",only
441,"데이터 파일을 열지 못했습니다.
The data file failed to _______.

copy, salt, dial, open",open
442,"안개가 갰다
The fog lifted. _______ The mist cleared away

telephone, or, bank, give",or
443,"오렌지와 레몬 껍질을 떨어뜨리세요.
Drop in _______ and lemon peel.

orange, grandmother , have, kick",orange
444,"사랑이란 간절히 다른 쪽 뺨을 내미는 것이다.
Love is eagerly turning the _______ cheek.

pencil, address, introduce, other",other
445,"그는 그녀를 밖으로 밀어냈다.
He elbowed her _______ of the way.

base, fill, shape, out",out
446,"깃발이 성 위에 너풀거린다 
The flag flutters  _______ a castle.

park, over, set, far",over
447,"229쪽 사진을 보세요. 
Look at the pictures on _______ 229.

grow, river, zero, page",page
448,"벽은 흰색으로 칠해야 해요. 
You need to _______ the walls white.

grape, love, any, paint",paint
449,"남자가 신발 한 켤레를 사고 있다. 
The man is buying a _______ of shoes.

daughter , pair, set, show",pair
450,"그가 바지를 입고 있다. 
He is putting on his _______.

pants, word, fine, be",pants
451,"종이 좀 더 갖다 주실래요? 
Would you bring me some more _______?

west, say, because, paper",paper
452,"그는 용서를 받으러 갔다. 
He went to ask for _______.

fork, red, people, pardon",pardon
453,"그는 자신이 좋은 부모가 될 수 있다고 믿고 있습니다. 
He believes he can be a good _______.

hear, parent, pair, hello",parent
454,"공원에는 벤치가 없다. 
There's no bench in the _______.

present, behind, park, out",park
455,"정말 멋진 파티였어. 
It was a really neat _______.

park, coin, party, oil",party
456,"예, 왼쪽에 있는 공원을 지나가세요. 
Yes, _______ the park on the left.

big, lake, breakfast , pass",pass
457,"대신 현금으로 지불하시겠어요? 
Do you want to _______ with cash instead?

start, record, sing, pay",pay
458,"비둘기는 평화의 상징이다. 
The dove is a figure of _______.

train, peace, cold, why",peace
459,"나는 배보다 사과가 좋다 
I like apples better than _______s.

stop, forget, truck, pear",pear
460,"책 위에 펜이 있다. 
There is a _______ on the book.

hard, old, student, pen",pen
461,"연필이 탁자 아래에 있다. 
The _______ is under the table.

sheep, listen, pencil, school",pencil
462,"사람들은 병원에 있다. 
The _______ are in the hospital.

draw, people, as, begin",people
463,"이 피아노는 아주 낡았다. 
This _______ is older than God.

party, hen, piano, number",piano
464,"그것을 주워 다오 
Please, _______ it up for me.

fresh, banana, boy, pick",pick
465,"내일 소풍을 간다. 
We are having a _______ tomorrow.

flower, cold, picnic, ice",picnic
466,"소녀가 그림을 색칠하고 있다. 
The girl is coloring the _______.

picture, sock, where, slow",picture
467,"각 조각 위에 치즈를 얹어라 
Top each _______ with a slice of cheese.

piece, butter, poster, empty",piece
468,"우리는 돼지를 보고 있어요. 
We are looking at the _______.

dog, wind, pair, pig",pig
469,"난 비행기 조종사가 되어서 많은 나라들을 보고 싶어. 
I want to be a _______ and see many countries.

moon, free, pilot, tonight",pilot
470,"그녀는 매우 친절한 사람이다 
She is a very kind _______.

soup, person, crayon, floor",person
471,"이 소나무는 유서가 깊다 
This _______ tree has a history.

speed, pine, shape, the",pine
472,"한 마리만 제외하고는 모든 돼지가 분홍색이다. 
Every pig is _______ include out one.

fast, food, pink, ear",pink
473,"남자가 길거리에 있는 파이프를 들어 올리고 있다. 
The man is lifting a _______ off the street.

pipe, eraser, stair, bring",pipe
474,"그들은 범죄가 일어난 장소를 수사했다. 
They investigate a _______ of crime.

place, flag, band, out",place
475,"내 계획은 단순해. 
My _______ is just plain and simple.

begin, become, plan, great",plan
476,"비행기를 놓치고 싶지 않아요. 
I don't want to miss my _______.

tall, album, plane, become",plane
477,"식물의 성장에는 햇빛이 필요하다 
Sunlight is needed for _______ growth.

captain, pocket, plant, dead",plant
478,"많은 여자 아이들이 인형놀이를 한다. 
Many little girls _______ with dolls.

chance, glove, play, bench",play
479,"너의 주머니에 단추를 채워 넣어야 해. 
You should button into your _______.

thirsty, pocket, tooth, narrow",pocket
480,"하나만 지적해도 될까요. 
Let me just _______ out one thing.

lesson, hi, point, he",point
481,"그는 경찰과 문제를 빚고 있다. 
He is in trouble with the _______.

police, but, story, and",police
482,"그들은 실내 풀장에서 편히 쉬고 있다.
They're relaxing in an indoor _______.

Miss, what, pool, mother",pool
483,"가난하다고 그를 업신여기지 마라.
Do not disdain him because he is _______.

chopstick , poor, pay, page",poor
484,"우체국 건너편에 있습니다. 
It’s across from the _______ office.

top, post, bed, change",post
485,"포스터에는 무엇이 들어가야 하지?
What should be on the _______?

student, violin, million, poster",poster
486,"감자는 미국이 원산지이다 
The _______ is native to America.

tell, doctor, potato, bad",potato
487,"전 연습이나 더 하겠습니다.
I think I'll _______ some more.

flower, sound, practice, after",practice
488,"이 조그만 게 내 생일 선물이야? 
Is this puny thing my birthday _______?

snow, move, present, tonight",present
489,"저 섹시한 여인이 매우 예뻤다. 
The bit of fluff was very _______.

happy, hate, she, pretty",pretty
490,"이 필름을 인화해 주시오. 
Please _______ this roll of film.

remember , print, put, deep",print
491,"그 물건이 뭐가 잘못됐어요?
What was the _______ with that shipment?

end, say, earth, problem",problem
492,"떼밀지 마라
Don't _______ me so much. or Stop shoving.

push, kind, stay, skirt",push
493,"그 정권에서 여왕이 실권을 잡았다. 
The _______ was at the helm in the regime

girl, pool, tape, queen",queen
494,"돌연한 질문에 얼떨떨했다 
I was dazed at his abrupt _______.

question, buy, the, excuse",question
495,"그는 언제나 응답이 빠르다.
He is ever _______ to respond.

oh, fun, quick, silver",quick
496,"좀 조용히 해! 
In the hell's name, be _______.

grass, grow, quiet, sports",quiet
497,"그는 라디오에서 흘러나오는 음악에 맞추어 몸을 흔들었다.
He grooved to the sounds of the _______.

engine, radio, point, stay",radio
498,"비가 그칠 성싶지 않다
There is no sign of the _______ ceasing.

understand  , yeah, rain, when",rain
499,"하늘에 무지개가 떠 있다.
A _______ hangs in the sky.

a,an, rainbow, record, blow",rainbow
500,"꽃망우리가 필락 말락 하고 있다 
The buds are just _______ to burst.

eraser, tooth, ready, soap",ready
501,"그 영화 정말 형편 없었어요.
The movie was a _______ bomb.

tape, real, set, movie",real
502,"지불 기록이 없어요. 
There is no _______ of the payment.

computer, record, doctor, guitar",record
503,"길거리는 저녁 어스름에 붉었다.
he streets were _______ in the dusk.

storm, red, calendar, north",red
504,"나는 그 영화 제목을 기억하지 못한다. 
I can't _______the film title.

rice, shop, stupid, remember ",remember 
505,"재검사를 받아야 합니까? 
Do I need to _______ the test?

evening, repeat, grow, open",repeat
506,"감사합니다. 다음주에 돌려드릴꼐요. 
Thank you. I'll _______ it next week

shoulder   , return, straight, along",return
507,"소녀가 풍선에 리본을 묶고 있다. 
The girl is tying the _______ to the balloon.

many, mail, game, ribbon",ribbon
508,"열흘치 쌀이 배급되었다
Ten days' ration of _______ was distributed.

vegetable, camera, cap, rice",rice
509,"그 부자가 출두했다.
The _______ guy surrendered to his bail.

listen, sheet, short, rich",rich
510,"집에 가는데 태워줄까? 
Do you need a _______ home?

million, ride, easy, coffee",ride
511,"그 웨이터는 당신에게 적절해요. 
The waiter will be _______ with you.

answer, right, grow, shoes",right
512,"그 가게는 마약 조직의 은신처이다
The shop fronts for a narcotics _______.

ring, sports, want, okay",ring
513,"강 굽이마다 바지선이 있다. 
There are barges at every turn of the _______.

find, button, square, river",river
514,"그 길은 거기서 왼쪽으로 꺾인다.
The _______ jogs to the left there.

care, road, light, hear",road
515,"로봇이 상자 옆에 있다.
The _______ is next to the box.

clothes, write, robot, swing",robot
516,"바위 틈에서 물이 우러나온다 
Water springs[gushes] up from the _______.

rock, half, cow, flower",rock
517,"로켓이 몇 시에 발사되죠? 
What time will the _______ be launched?

rocket, hundred, rest, warm",rocket
518,"비가 지붕을 또닥거리며 온다
The rain is pattering on the _______.

dirty, interest, roof, center",roof
519,"종이가 흩어져 방안이 산란하다 
The _______ is littered with scraps of paper.

music, wash, people, room",room
520,"그 장미는 내 정원에서 가장 예쁜 꽃이다.
The _______ is the prettiest flower in my garden.

meter, ill, may, rose",rose
521,"큰 접시처럼 둥글다.
It's as _______ as a big dish.

high, clothes, round, ticket",round
522,"남자가 자 위에 뭔가 쓰고 있다.
The man is writing on his _______.

sports, get, list, ruler",ruler
523,"그는 너만큼 빨리 뛴다.
He _______s as fast as you (_______).

run, keep, bell, need",run
524,"신디의 반 친구들 모두 아주 슬펐어요. 
All of her classmates were very _______.

down, pink, because, sad",sad
525,"이 장난감은 더없이 안전하다. 
This toy is _______ as anything.

now, safe, ask, video",safe
526,"소금이나 물을 넣지 마라
Do not add _______ or water.

daughter , salt, water, cry",salt
527,"남자가 샐러드에 오일을 뿌리고 있다. 
The man is putting oil on the _______.

film, salad, tomato, shirt",salad
528,"완공 연도가 같은 두 댐은 어느 것들인가?
Which two dams are the _______ age?

stupid, same, hold, knee",same
529,"그들은 모래 위에 누워 있다. 
They are lying on the _______.

dance, gold, foot, sand",sand
530,"학교는 그의 집 가까이에 있다. 
The _______ is in his own backyard

letter, school, show, week",school
531,"나의 점수는 서서히 나아질 것이다. 
My _______ will be improved by gradation.

busy, score, cook, take",score
532,"파도가 너울거린다 
The _______ is swelling.

fresh, rice, sea, may",sea
533,"겨울은 연중 가장 습한 계절입니다. 
Winter is the wettest _______ of the year.

mirror, stand, sing, season",season
534,"안내인이 나를 자리로 안내해 주었다.
The guider showed me into the _______.

seat, thousand, road, white",seat
535,"앞으론 당신을 절대 보고싶지 않아요.
I never ever want to _______ you again.

sheep, soon, heart, see",see
536,"내 차를 간신히 팔았어. 
I managed to _______ my car.

until, ride, sell, dear",sell
537,"우리가 보강 병력을 보내야 할까?
Do we need to _______ in reinforcements?

work, say, send, season",send
538,"룸서비스가 가장 좋아요. 
I like the room _______ the most.

circle, service, leave, wet",service
539,"그녀는 시계를 맞추어 놓았지만 일어나지 못하였다.
She _______ a clock but she didn't wake up.

cool, close, set, news",set
540,"그것 때문에 너에게 손해를 끼치지는 않겠다.
You _______ not be the loser by it.

black, shall, ask, welcome",shall
541,"그 탁자는 모양이 타원형이다. 
The table is oval in _______.

hello, zero, shape, red",shape
542,"그녀는 떠나면서 손을 흔들어 인사했다.
She waved a salute as _______ left.

and, switch, once, she",she
543,"양치기 소년은 그의 양을 풀어놓았다.
The shepherd boy cast loose his _______.

tooth, sheep, coat, busy",sheep
544,"스틱들을 커다란 쿠키 시트에다 올려놓는다.
Place sticks on a large cookie _______.

wall, god, sheet, surprise",sheet
545,"배는 부두에 정박해 있다. 
The _______ is docking at the wharf.

cut, count, ship, thank",ship
546,"그는 파란 셔츠를 입고 있어. 
He is wearing a blue _______.

date, tennis, buy, shirt",shirt
547,"소녀가 구두를 보고 있다. 
The girl is looking at her _______.

count, drop, shoes, umbrella",shoes
548,"저는 쏘거나 잡지는 않았어요. 
I didn’t _______ or catch it.

shoot, school, red, plant",shoot
549,"난 애완 동물 가게에 살아요. 
I live in a pet _______.

waste, shop, put, join",shop
550,"그 바지는 너한테 너무 짧아보여. 
Those pants look too _______ for you.

paper, restaurant , try, short",short
551,"그녀는 기뻐서 외쳤다 
She gave a _______ of joy.

shout, fact, dark, temple",shout
552,"그래서 재미있는 쇼를 하고 싶었어요. 
So I wanted to do a funny _______.

until, speed, say, show",show
553,"나는 소나기를 만났다. 
I was caught in a _______.

milk, away, cloud, shower",shower
554,"바람이 불면서 문이 휙 닫혔다. 
When the wind blew, the door swung _______.

swing, shut, monkey, send",shut
555,"내 막내 여동생은 병에 걸렸다.
My youngest sister is on the _______ list.

horse, a,an, strawberry, sick",sick
556,"어떤 여자가 팔꿈치로 내 옆구리를 찔렀다. 
A woman dug her elbow into my _______.

night, with, side, he",side
557,"기입 사항에 서명 날인해주세요. 
Please _______ and seal an entry.

high, sign, doctor, sea",sign
558,"금, 은, 동은 원소이다. 
Gold, _______ and copper are elements.

silver, aunt, bell, thousand",silver
559,"결국 백조들은 노래하는 법을 잊었다.
In time, swans forgot how to _______.

on, handle, sing, stove",sing
560,"미안합니다 손님. 찾으시는 음식이 없는데요.
I'm sorry, _______. We don't serve your kind.

kind, hard, only, sir",sir
561,"네 누이동생에게 안부 전해 줘.
Say hi to your _______ for me.

word, taxi, sister, wonder",sister
562,"앞자리에 앉겠습니다. 
I'll _______ in the front seat.

hi, bench, pencil, sit",sit
563,"여행용 가방들은 모두 크기가 똑같다.
(크기   suitcases are all the same _______.

skirt, size, right, long",size
564,"아이가 거리에서 스케이트보드를 타지 않게 하세요. 
Don't let your child _______ on the street.

now, night, ask, skate",skate
565,"치마가 문에 걸렸다. 
The _______ caught in a door.

cat, below, bird, skirt",skirt
566,"하늘의 달이 이울기 시작했다.
The moon in the _______ is on the wane.

ill, sky, slow, sun",sky
567,"나 지금 좀 자고 싶어. 
I need some _______ right now.

sleep, stamp, to, church",sleep
568,"서랍들은 미끄러지듯 수월하게 여닫힌다. 
The drawers _______ in and out easily.

slide, why, cold, small",slide
